primary_sta,secondary_sta,orbitNumber_primary,orbitDirection_primary,ascendingNodeDate_primary,startTimeFromAscendingNode_primary,completionTimeFromAscendingNode_primary,dataTakeID_primary,primaryImageSelectionInformation_secondary,normalBaseline_secondary,averageRangeCoregistrationShift_secondary,averageAzimuthCoregistrationShift_secondary,orbitNumber_secondary,orbitDirection_secondary,ascendingNodeDate_secondary,startTimeFromAscendingNode_secondary,completionTimeFromAscendingNode_secondary,dataTakeID_secondary,centerLat_secondary,centerLon_secondary,mean(|coh|),min(|coh|),max(|coh|),median(|coh|),frame,phaseCorrectionMode,date_primary,date_secondary
BIO_S1_STA__1S_20250612T095618_20250612T095638_C_G___M___C___T____F307_01_DGQMHP,BIO_S1_STA__1S_20250618T095617_20250618T095638_C_G___M___C___T____F307_01_DGQMI6,646,ASCENDING,2025-06-12T08:19:23.196Z,5814978,5835759,5297345,Geometry,-338.4015614743503,119.81507470155269,98.36415525357341,734,ASCENDING,2025-06-12T08:19:23.196Z,5814978,5835759,6018241,-4.53332,-61.072748,0.7992169224502126,0.00044209637772299275,0.9999999999999999,0.8432958031102422,307,None,20250612T095618,20250618T095617
BIO_S1_STA__1S_20250612T095618_20250612T095638_C_G___M___C___T____F307_01_DGQMHP,BIO_S1_STA__1S_20250621T095619_20250621T095640_C_G___M___C___T____F307_01_DGQMHF,646,ASCENDING,2025-06-12T08:19:23.196Z,5814978,5835759,5297345,Geometry,587.7120354646299,-277.6062490280901,-96.23794576134276,778,ASCENDING,2025-06-12T08:19:23.196Z,5814978,5835759,6378689,-4.53332,-61.072748,0.7035966947886555,0.0002742099174523596,0.9999999999999999,0.721303990153737,307,None,20250612T095618,20250621T095619
BIO_S1_STA__1S_20250612T095734_20250612T095754_C_G___M___C___T____F001_01_DGQW2K,BIO_S1_STA__1S_20250609T095734_20250609T095755_C_G___M___C___T____F001_01_DGQW2B,646,ASCENDING,2025-06-12T08:19:23.196Z,5891006,5911784,5297345,Geometry,80.93382151557546,-92.45823986630678,17.669574961927864,602,ASCENDING,2025-06-12T08:19:23.196Z,5891006,5911784,4936897,0.091133,-62.045592,0.7871709394694368,0.0002811447789453669,0.9999999999999999,0.8765958058635369,1,None,20250612T095734,20250609T095734
BIO_S1_STA__1S_20250612T095734_20250612T095754_C_G___M___C___T____F001_01_DGQW2K,BIO_S1_STA__1S_20250615T095733_20250615T095754_C_G___M___C___T____F001_01_DGQW2S,646,ASCENDING,2025-06-12T08:19:23.196Z,5891006,5911784,5297345,Geometry,-265.85347544271644,90.94071705948166,111.51898443481522,690,ASCENDING,2025-06-12T08:19:23.196Z,5891006,5911784,5657793,0.091133,-62.045592,0.7359828216111827,8.241089062965352e-05,0.9999999999999999,0.8033947089787948,1,None,20250612T095734,20250615T095733
BIO_S1_STA__1S_20250612T095734_20250612T095754_C_G___M___C___T____F001_01_DGQW2K,BIO_S1_STA__1S_20250618T095733_20250618T095754_C_G___M___C___T____F001_01_DGQW31,646,ASCENDING,2025-06-12T08:19:23.196Z,5891006,5911784,5297345,Geometry,-324.771693643428,118.02536574128409,132.29678633152034,734,ASCENDING,2025-06-12T08:19:23.196Z,5891006,5911784,6018241,0.091133,-62.045592,0.7111687096736967,0.0002472566074906943,0.9999999999999999,0.7542364498302236,1,None,20250612T095734,20250618T095733
BIO_S1_STA__1S_20250612T095812_20250612T095832_C_G___M___C___T____F003_01_DGR33X,BIO_S1_STA__1S_20250609T095812_20250609T095833_C_G___M___C___T____F003_01_DGR33O,646,ASCENDING,2025-06-12T08:19:23.196Z,5928998,5949774,5297345,Geometry,81.25750783607855,-92.51393173286607,22.26980223865909,602,ASCENDING,2025-06-12T08:19:23.196Z,5928998,5949774,4936897,2.401305,-62.54067,0.8445040742107585,0.0006671065023149668,0.9999999999999999,0.8718235213405425,3,None,20250612T095812,20250609T095812
BIO_S1_STA__1S_20250612T095812_20250612T095832_C_G___M___C___T____F003_01_DGR33X,BIO_S1_STA__1S_20250615T095811_20250615T095832_C_G___M___C___T____F003_01_DGR332,646,ASCENDING,2025-06-12T08:19:23.196Z,5928998,5949774,5297345,Geometry,-262.03735746853494,90.61717020982886,57.97994673695041,690,ASCENDING,2025-06-12T08:19:23.196Z,5928998,5949774,5657793,2.401305,-62.54067,0.839190881694376,0.002091057027824246,0.9999999999999999,0.8592853777510354,3,None,20250612T095812,20250615T095811
BIO_S1_STA__1S_20250612T154107_20250612T154128_C_G___M___C___T____F156_01_DGX19J,BIO_S1_STA__1S_20250609T154107_20250609T154128_C_G___M___C___T____F156_01_DGX18Q,650,DESCENDING,2025-06-12T14:52:06.957Z,2940768,2961546,5327615,Geometry,-61.52769074950222,81.11449325002778,446.91676636242397,606,DESCENDING,2025-06-12T14:52:06.957Z,2940768,2961546,4967167,-1.154295,37.109254,0.7095180293896086,0.0005432347285019011,0.9999999999999999,0.741010352307188,156,None,20250612T154107,20250609T154107
BIO_S1_STA__1S_20250612T154107_20250612T154128_C_G___M___C___T____F156_01_DGX19J,BIO_S1_STA__1S_20250618T154107_20250618T154128_C_G___M___C___T____F156_01_DGX187,650,DESCENDING,2025-06-12T14:52:06.957Z,2940768,2961546,5327615,Geometry,274.96000251678413,81.64702875505911,3364.383113589416,738,DESCENDING,2025-06-12T14:52:06.957Z,2940768,2961546,6048511,-1.154295,37.109254,0.5636451445260345,9.579723313863713e-05,0.9999999999999999,0.5869943321106899,156,None,20250612T154107,20250618T154107
BIO_S1_STA__1S_20250609T154709_20250609T154730_C_G___M___C___T____F175_01_DGWWFV,BIO_S1_STA__1S_20250618T154708_20250618T154729_C_G___M___C___T____F175_01_DGWWGS,606,DESCENDING,2025-06-09T14:52:07.204Z,3302280,3323077,4967605,Geometry,247.13273130446856,-34.065187278965055,190.53202913523995,738,DESCENDING,2025-06-09T14:52:07.204Z,3302280,3323077,6048949,-23.12107,32.478136,0.7053652582436297,0.00020343045422946957,0.9999999999999999,0.7724405623686934,175,None,20250609T154709,20250618T154708
